CODE,CODETYPE,NAME,ISACTIVE
706872008,SNOMEDCT,Victim of elder abuse (finding),TRUE
706874009,SNOMEDCT,At risk of elder neglect (finding),TRUE
706875005,SNOMEDCT,Insufficient food supply (finding),TRUE
706892001,SNOMEDCT,At risk of intimate partner abuse (finding),TRUE
706893006,SNOMEDCT,Victim of intimate partner abuse (finding),TRUE
707087005,SNOMEDCT,At risk of domestic violence (finding),TRUE
713458007,SNOMEDCT,Lack of access to transportation (finding),TRUE
713820002,SNOMEDCT,Victim of sexual assault by intimate partner (finding),TRUE
715046004,SNOMEDCT,Unable to obtain medication (finding),TRUE
720411002,SNOMEDCT,History of domestic physical abuse (situation),TRUE
720428004,SNOMEDCT,History of domestic emotional abuse (situation),TRUE
720741001,SNOMEDCT,History of domestic sexual abuse (situation),TRUE
733423003,SNOMEDCT,Food insecurity (finding),TRUE
733817003,SNOMEDCT,Decreased social isolation (finding),TRUE
73438004,SNOMEDCT,Unemployed (finding),TRUE
73595000,SNOMEDCT,Stress (finding),TRUE
736769008,SNOMEDCT,Social isolation in parenthood (finding),TRUE
741062008,SNOMEDCT,Not in labor force (finding),TRUE
95929000,SNOMEDCT,Psychologically abused elder (finding),TRUE
95933007,SNOMEDCT,Neglected elder (finding),TRUE
E63.9,ICD10CM,"Nutritional deficiency, unspecified",TRUE
T74.01XA,ICD10CM,"Adult neglect or abandonment, confirmed, initial encounter",TRUE
T74.01XD,ICD10CM,"Adult neglect or abandonment, confirmed, subsequent encounter",TRUE
T74.01XS,ICD10CM,"Adult neglect or abandonment, confirmed, sequela",TRUE
T74.11XA,ICD10CM,"Adult physical abuse, confirmed, initial encounter",TRUE
T74.11XD,ICD10CM,"Adult physical abuse, confirmed, subsequent encounter",TRUE
T74.11XS,ICD10CM,"Adult physical abuse, confirmed, sequela",TRUE
T74.12XA,ICD10CM,"Child physical abuse, confirmed, initial encounter",TRUE
T74.12XD,ICD10CM,"Child physical abuse, confirmed, subsequent encounter",TRUE
T74.12XS,ICD10CM,"Child physical abuse, confirmed, sequela",TRUE
T74.21XA,ICD10CM,"Adult sexual abuse, confirmed, initial encounter",TRUE
T74.21XD,ICD10CM,"Adult sexual abuse, confirmed, subsequent encounter",TRUE
T74.21XS,ICD10CM,"Adult sexual abuse, confirmed, sequela",TRUE
T74.22XA,ICD10CM,"Child sexual abuse, confirmed, initial encounter",TRUE
T74.22XD,ICD10CM,"Child sexual abuse, confirmed, subsequent encounter",TRUE
T74.22XS,ICD10CM,"Child sexual abuse, confirmed, sequela",TRUE
T74.31XA,ICD10CM,"Adult psychological abuse, confirmed, initial encounter",TRUE
T74.31XD,ICD10CM,"Adult psychological abuse, confirmed, subsequent encounter",TRUE
T74.31XS,ICD10CM,"Adult psychological abuse, confirmed, sequela",TRUE
T74.32XA,ICD10CM,"Child psychological abuse, confirmed, initial encounter",TRUE
T74.32XD,ICD10CM,"Child psychological abuse, confirmed, subsequent encounter",TRUE
T74.32XS,ICD10CM,"Child psychological abuse, confirmed, sequela",TRUE
T74.91XA,ICD10CM,"Unspecified adult maltreatment, confirmed, initial encounter",TRUE
T74.91XD,ICD10CM,"Unspecified adult maltreatment, confirmed, subsequent encounter",TRUE
T74.91XS,ICD10CM,"Unspecified adult maltreatment, confirmed, sequela",TRUE
T76.01XA,ICD10CM,"Adult neglect or abandonment, suspected, initial encounter",TRUE
T76.01XD,ICD10CM,"Adult neglect or abandonment, suspected, subsequent encounter",TRUE
T76.01XS,ICD10CM,"Adult neglect or abandonment, suspected, sequela",TRUE
T76.11XA,ICD10CM,"Adult physical abuse, suspected, initial encounter",TRUE
T76.11XD,ICD10CM,"Adult physical abuse, suspected, subsequent encounter",TRUE
T76.11XS,ICD10CM,"Adult physical abuse, suspected, sequela",TRUE
T76.12XA,ICD10CM,"Child physical abuse, suspected, initial encounter",TRUE
T76.12XD,ICD10CM,"Child physical abuse, suspected, subsequent encounter",TRUE
T76.12XS,ICD10CM,"Child physical abuse, suspected, sequela",TRUE
T76.21XA,ICD10CM,"Adult sexual abuse, suspected, initial encounter",TRUE
T76.21XD,ICD10CM,"Adult sexual abuse, suspected, subsequent encounter",TRUE
T76.21XS,ICD10CM,"Adult sexual abuse, suspected, sequela",TRUE
T76.22XA,ICD10CM,"Child sexual abuse, suspected, initial encounter",TRUE
T76.22XD,ICD10CM,"Child sexual abuse, suspected, subsequent encounter",TRUE
T76.22XS,ICD10CM,"Child sexual abuse, suspected, sequela",TRUE
T76.31XA,ICD10CM,"Adult psychological abuse, suspected, initial encounter",TRUE
T76.31XD,ICD10CM,"Adult psychological abuse, suspected, subsequent encounter",TRUE
T76.31XS,ICD10CM,"Adult psychological abuse, suspected, sequela",TRUE
T76.32XA,ICD10CM,"Child psychological abuse, suspected, initial encounter",TRUE
T76.32XD,ICD10CM,"Child psychological abuse, suspected, subsequent encounter",TRUE
T76.32XS,ICD10CM,"Child psychological abuse, suspected, sequela",TRUE
T76.91XA,ICD10CM,"Unspecified adult maltreatment, suspected, initial encounter",TRUE
T76.91XD,ICD10CM,"Unspecified adult maltreatment, suspected, subsequent encounter",TRUE
T76.91XS,ICD10CM,"Unspecified adult maltreatment, suspected, sequela",TRUE
Y07.01,ICD10CM,"Husband, perpetrator of maltreatment and neglect",TRUE
Y07.02,ICD10CM,"Wife, perpetrator of maltreatment and neglect",TRUE
Y07.03,ICD10CM,"Male partner, perpetrator of maltreatment and neglect",TRUE
Y07.04,ICD10CM,"Female partner, perpetrator of maltreatment and neglect",TRUE
Z56.0,ICD10CM,"Unemployment, unspecified",TRUE
Z59.00,ICD10CM,Homelessness unspecified,TRUE
Z59.01,ICD10CM,Sheltered homelessness,TRUE
Z59.02,ICD10CM,Unsheltered homelessness,TRUE
Z59.1,ICD10CM,Inadequate housing,TRUE
Z59.41,ICD10CM,Food insecurity,TRUE
Z59.48,ICD10CM,Other specified lack of adequate food,TRUE
Z59.811,ICD10CM,"Housing instability, housed, with risk of homelessness",TRUE
Z59.812,ICD10CM,"Housing instability, housed, homelessness in past 12 months",TRUE
Z59.819,ICD10CM,"Housing instability, housed unspecified",TRUE
Z60.2,ICD10CM,Problems related to living alone,TRUE
Z60.4,ICD10CM,Social exclusion and rejection,TRUE
Z60.8,ICD10CM,Other problems related to social environment,TRUE
Z63.8,ICD10CM,Other specified problems related to primary support group,TRUE
Z65.9,ICD10CM,Problem related to unspecified psychosocial circumstances,TRUE
Z73.3,ICD10CM,"Stress, not elsewhere classified",TRUE
Z91.11,ICD10CM,Patient's noncompliance with dietary regimen,TRUE
Z91.120,ICD10CM,Patient's intentional underdosing of medication regimen due to financial hardship,TRUE
Z91.410,ICD10CM,Personal history of adult physical and sexual abuse,TRUE
Z91.411,ICD10CM,Personal history of adult psychological abuse,TRUE
Z91.412,ICD10CM,Personal history of adult neglect,TRUE
Z91.419,ICD10CM,Personal history of unspecified adult abuse,TRUE
Z91.82,ICD10CM,Personal history of military deployment,TRUE
Z91.89,ICD10CM,"Other specified personal risk factors, not elsewhere classified",TRUE
